SCAN_NUM,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,LABEL

11,4323,4493,4085,405,6277,59997,982,3266,3566,1735,6261,59997,199,1206,207,1183,6266,59996,Para_Fresh

12,4315,4484,4076,406,6273,59997,982,3262,3554,1728,6244,59998,200,1201,206,1181,6242,59998,Para_Fresh

13,4292,4459,4055,404,6247,59997,978,3251,3540,1723,6230,59996,198,1201,206,1178,6223,59996,Para_Fresh

14,4284,4456,4047,402,6230,59997,973,3244,3533,1721,6204,59997,198,1196,206,1176,6207,59997,Para_Fresh

15,4253,4432,4020,399,6200,59998,970,3220,3514,1712,6174,59997,196,1191,204,1167,6176,59998,Para_Fresh

16,4251,4415,4018,398,6196,59998,970,3213,3511,1709,6183,59997,196,1192,205,1166,6168,59996,Para_Fresh

17,4189,4357,3958,395,6116,59996,961,3155,3461,1694,6088,59998,193,1165,201,1145,6072,59997,Para_Fresh

18,4238,4405,4007,400,6187,59998,968,3202,3503,1710,6162,59997,196,1184,206,1163,6158,59998,Para_Fresh

19,4207,4369,3981,396,6148,59998,967,3183,3487,1702,6127,59997,195,1177,203,1158,6127,59997,Para_Fresh

20,4222,4393,3989,397,6162,59998,965,3195,3490,1703,6143,59997,195,1180,203,1157,6130,59997,Para_Fresh

31,3756,3968,3600,375,5688,59998,889,2886,3216,1581,5678,59997,183,1084,190,1059,5669,59997,Para_Damaged

32,3758,3976,3596,375,5696,59996,893,2886,3208,1583,5676,59996,185,1088,191,1062,5689,59997,Para_Damaged

33,3729,3958,3587,374,5673,59997,891,2884,3207,1578,5663,59998,183,1089,189,1054,5685,59997,Para_Damaged

34,3809,4033,3651,379,5754,59998,899,2925,3249,1596,5740,59997,185,1099,191,1068,5730,59998,Para_Damaged

35,3771,3997,3616,376,5713,59998,893,2894,3215,1586,5690,59997,182,1089,190,1059,5683,59997,Para_Damaged

36,3775,4002,3624,376,5714,59997,894,2898,3222,1590,5701,59997,184,1091,191,1060,5692,59997,Para_Damaged

37,3784,4003,3630,376,5725,59998,894,2916,3229,1591,5712,59997,183,1086,189,1061,5679,59997,Para_Damaged

38,3778,4001,3623,376,5719,59997,894,2907,3223,1590,5703,59996,184,1093,190,1063,5702,59997,Para_Damaged

39,3767,3982,3611,376,5706,59997,893,2890,3212,1585,5674,59997,184,1084,189,1056,5681,59997,Para_Damaged

40,3742,3973,3596,373,5696,59997,891,2884,3209,1583,5677,59997,182,1083,188,1055,5668,59996,Para_Damaged

5,4368,4551,4102,388,6272,59997,1011,3281,3636,1772,6248,59998,195,1202,206,1194,6244,59998,Combi_Fresh

6,4362,4550,4104,389,6271,59997,1009,3278,3630,1768,6253,59997,196,1203,207,1196,6234,59997,Combi_Fresh

7,4353,4529,4089,387,6251,59997,1010,3266,3623,1767,6243,59998,194,1199,206,1192,6236,59997,Combi_Fresh

8,4334,4509,4071,384,6226,59997,1008,3261,3615,1761,6234,59997,195,1199,206,1192,6233,59997,Combi_Fresh

9,4310,4492,4051,388,6218,59998,1005,3212,3574,1750,6177,59998,194,1179,203,1175,6141,59997,Combi_Fresh

10,4264,4442,4006,381,6163,59997,1003,3194,3553,1743,6141,59997,192,1175,202,1167,6143,59998,Combi_Fresh

11,4270,4452,4011,383,6156,59998,1002,3197,3555,1743,6152,59998,193,1179,205,1173,6145,59998,Combi_Fresh

12,4275,4460,4019,383,6166,59998,1003,3205,3568,1747,6145,59998,193,1178,203,1175,6152,59998,Combi_Fresh

13,4263,4447,4006,380,6157,59997,1002,3199,3557,1745,6153,59998,194,1174,203,1170,6150,59997,Combi_Fresh

14,4283,4461,4012,383,6177,59997,1005,3206,3559,1749,6162,59997,193,1178,202,1175,6152,59997,Combi_Fresh

15,4272,4450,4006,381,6158,59998,1004,3199,3559,1747,6145,59996,194,1177,202,1173,6146,59997,Combi_Fresh

21,4391,4556,4106,384,6297,59998,1021,3278,3630,1767,6276,59997,197,1200,206,1196,6273,59997,Combi_Damaged

22,4394,4546,4098,384,6280,59997,1023,3279,3628,1765,6274,59998,198,1198,208,1195,6269,59997,Combi_Damaged

23,4392,4547,4094,383,6289,59998,1020,3286,3624,1762,6265,59998,198,1198,207,1196,6259,59997,Combi_Damaged

24,4392,4560,4110,384,6302,59998,1022,3286,3636,1772,6278,59997,197,1203,207,1197,6280,59997,Combi_Damaged

25,4399,4557,4110,382,6301,59997,1021,3286,3633,1770,6273,59997,199,1204,209,1201,6281,59998,Combi_Damaged

26,4397,4570,4119,386,6312,59997,1021,3293,3641,1771,6294,59997,199,1203,207,1199,6286,59997,Combi_Damaged

27,4414,4576,4123,385,6316,59997,1026,3297,3651,1776,6295,59998,199,1203,208,1200,6288,59998,Combi_Damaged

28,4413,4580,4129,386,6315,59998,1025,3301,3649,1773,6303,59997,200,1204,208,1202,6297,59998,Combi_Damaged

29,4419,4582,4130,387,6335,59997,1026,3305,3651,1775,6312,59996,199,1208,209,1205,6302,59997,Combi_Damaged

30,4416,4578,4122,385,6322,59998,1025,3302,3645,1776,6301,59997,198,1207,208,1204,6304,59998,Combi_Damaged

